City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Susangerd,IR,31.5608,48.1831,75.36,14,0,16.13,clear sky
1,Khatanga,RU,71.9667,102.5,5.9,95,99,12.35,overcast clouds
2,Antalya,TR,36.7741,30.7178,65.08,54,75,10.36,light rain
3,Vaini,TO,-21.2,-175.2,82.56,83,75,4.61,broken clouds
4,Longyearbyen,SJ,78.2186,15.6401,21.04,86,75,12.66,light snow
5,Nabire,ID,-3.3667,135.4833,75.38,91,93,2.86,moderate rain
6,Hermanus,ZA,-34.4187,19.2345,61.81,89,36,8.46,scattered clouds
7,Shar,KZ,49.5886,81.0453,50.94,32,52,8.1,broken clouds
8,Mataura,NZ,-46.1927,168.8643,41.49,81,0,1.74,clear sky
9,Karratha,AU,-20.7377,116.8463,83.43,35,18,10.27,few clouds
10,Yellowknife,CA,62.456,-114.3525,17.56,44,98,10.0,overcast clouds
11,New Norfolk,AU,-42.7826,147.0587,54.72,72,100,3.0,overcast clouds
12,Havre-Saint-Pierre,CA,50.2334,-63.5986,35.96,93,100,13.8,overcast clouds
13,Puerto Ayora,EC,-0.7393,-90.3518,78.76,88,72,9.95,light rain
14,Inhambane,MZ,-23.865,35.3833,72.82,91,100,6.31,moderate rain
15,Carnarvon,AU,-24.8667,113.6333,66.27,88,100,10.36,overcast clouds
16,Rikitea,PF,-23.1203,-134.9692,78.42,69,1,12.66,clear sky
17,Kimparana,ML,12.8347,-4.9244,88.41,22,99,5.73,overcast clouds
18,Pamplona,ES,42.8169,-1.6432,53.98,82,20,17.27,few clouds
19,Bambous Virieux,MU,-20.3428,57.7575,76.21,87,35,13.76,moderate rain
20,Surok,RU,56.4469,48.1214,31.55,98,100,9.44,light snow
21,Provideniya,RU,64.3833,-173.3,32.36,93,100,25.01,snow
22,Bredasdorp,ZA,-34.5322,20.0403,59.95,93,66,5.01,broken clouds
23,Airai,TL,-8.9266,125.4092,59.43,88,90,2.24,overcast clouds
24,Mahibadhoo,MV,3.7833,72.9667,84.25,71,97,12.19,overcast clouds
25,Purranque,CL,-40.9167,-73.1667,61.93,60,100,2.39,overcast clouds
26,Kamenka,RU,51.3223,42.7678,49.93,85,100,7.99,overcast clouds
27,Pacific Grove,US,36.6177,-121.9166,69.24,71,0,10.36,clear sky
28,Geraldton,AU,-28.7667,114.6,50.41,87,0,6.91,clear sky
29,Nyurba,RU,63.2842,118.3319,34.54,98,100,9.93,overcast clouds
