City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Jamestown,US,2022-04-15 00:28:21,42.097,-79.2353,49.59,32,20,8.05
1,Rikitea,PF,2022-04-15 00:30:00,-23.1203,-134.9692,78.01,68,13,16.42
2,Puerto Ayora,EC,2022-04-15 00:30:01,-0.7393,-90.3518,76.19,89,31,7.58
3,Castro,BR,2022-04-15 00:30:02,-24.7911,-50.0119,54.95,98,5,4.94
4,Saldanha,ZA,2022-04-15 00:30:03,-33.0117,17.9442,50.05,76,53,18.43
5,Dikson,RU,2022-04-15 00:30:04,73.5069,80.5464,18.75,89,100,9.04
6,Nikolskoye,RU,2022-04-15 00:30:05,59.7035,30.7861,37.87,96,100,2.39
7,Khandyga,RU,2022-04-15 00:30:06,62.6667,135.6,24.24,76,20,4.99
8,Hobart,AU,2022-04-15 00:30:03,-42.8794,147.3294,63.27,64,100,26.46
9,Bluff,NZ,2022-04-15 00:30:07,-46.6,168.3333,58.71,63,100,9.86
10,Chapais,CA,2022-04-15 00:30:07,49.7834,-74.8492,35.38,96,100,10.63
11,Altstatten,CH,2022-04-15 00:30:08,47.3777,9.5475,58.41,74,100,5.75
12,Kita,ML,2022-04-15 00:30:09,13.0349,-9.4895,87.42,11,91,4.59
13,Muyezerskiy,RU,2022-04-15 00:30:10,63.9333,31.65,31.64,98,100,5.95
14,Arraial Do Cabo,BR,2022-04-15 00:26:14,-22.9661,-42.0278,75.38,84,56,12.28
15,East London,ZA,2022-04-15 00:30:10,-33.0153,27.9116,68.7,79,100,10.49
16,Hithadhoo,MV,2022-04-15 00:30:10,-0.6,73.0833,83.32,69,100,5.28
17,Road Town,VG,2022-04-15 00:30:11,18.4167,-64.6167,78.84,78,40,12.66
18,Hilo,US,2022-04-15 00:27:15,19.7297,-155.09,83.28,78,100,14.97
19,Saskylakh,RU,2022-04-15 00:30:11,71.9167,114.0833,-5.19,97,100,6.2
20,Cayenne,GF,2022-04-15 00:30:12,4.9333,-52.3333,82.09,1,100,13.8
21,Kodiak,US,2022-04-15 00:30:12,57.79,-152.4072,44.11,53,20,18.41
22,Gat,IL,2022-04-15 00:30:12,31.61,34.7642,58.41,76,0,1.45
23,Briceni,MD,2022-04-15 00:30:13,48.3572,27.7036,46.31,58,16,3.36
24,Lompoc,US,2022-04-15 00:30:13,34.6391,-120.4579,69.57,75,0,21.85
25,Minervino Murge,IT,2022-04-15 00:30:14,41.0843,16.0784,45.25,82,100,5.21
26,Kapaa,US,2022-04-15 00:30:14,22.0752,-159.319,82.38,75,0,13.8
27,Barrow,US,2022-04-15 00:30:15,71.2906,-156.7887,5.02,66,0,17.27
28,Cape Town,ZA,2022-04-15 00:28:29,-33.9258,18.4232,60.12,75,75,10.36
29,Necochea,AR,2022-04-15 00:30:07,-38.5473,-58.7368,52.92,69,0,8.75
30,Uhlove,UA,2022-04-15 00:30:15,44.8215,33.6045,46.02,88,6,2.17
31,Barth,DE,2022-04-15 00:30:16,54.3635,12.7249,50.09,61,100,9.98
32,Ponta Delgada,PT,2022-04-15 00:30:16,37.7333,-25.6667,61.52,100,75,8.05
33,Ojinaga,MX,2022-04-15 00:30:16,29.5667,-104.4167,89.56,15,0,0.0
34,Kruisfontein,ZA,2022-04-15 00:30:17,-34.0033,24.7314,60.89,91,100,16.26
35,Ukiah,US,2022-04-15 00:30:17,39.1502,-123.2078,55.53,88,100,1.99
36,La Ronge,CA,2022-04-15 00:30:18,55.1001,-105.2842,23.25,36,100,13.8
37,Lima,PE,2022-04-15 00:25:24,-12.0432,-77.0282,64.65,77,0,13.8
38,Lukow,PL,2022-04-15 00:30:18,51.929,22.3796,51.93,69,100,7.09
39,Fortuna,US,2022-04-15 00:30:18,40.5982,-124.1573,52.09,67,100,11.5
40,Khalkhal,IR,2022-04-15 00:30:19,37.6189,48.5258,43.84,60,49,5.68
41,Bathsheba,BB,2022-04-15 00:30:19,13.2167,-59.5167,79.41,78,75,24.16
42,Burnie,AU,2022-04-15 00:30:19,-41.0667,145.9167,60.93,87,100,9.22
43,Ushuaia,AR,2022-04-15 00:30:20,-54.8,-68.3,46.06,66,20,9.22
44,Cherskiy,RU,2022-04-15 00:31:20,68.75,161.3,22.48,90,98,4.68
45,Georgetown,MY,2022-04-15 00:29:24,5.4112,100.3354,80.53,93,20,3.44
46,Busselton,AU,2022-04-15 00:31:21,-33.65,115.3333,64.08,67,0,7.96
47,Husavik,IS,2022-04-15 00:31:21,66.0449,-17.3389,40.03,87,100,10.71
48,Norman Wells,CA,2022-04-15 00:31:22,65.282,-126.8329,17.64,45,40,14.97
49,Albany,US,2022-04-15 00:27:41,42.6001,-73.9662,56.05,69,100,1.01
50,Tari,NG,2022-04-15 00:31:22,12.4086,4.4914,85.87,48,100,9.98
51,Tiksi,RU,2022-04-15 00:31:22,71.6872,128.8694,2.41,95,100,8.86
52,Tezu,IN,2022-04-15 00:31:23,27.9167,96.1667,70.88,92,100,3.71
53,Qaanaaq,GL,2022-04-15 00:31:23,77.484,-69.3632,-4.58,93,100,3.8
54,Punta Arenas,CL,2022-04-15 00:29:11,-53.15,-70.9167,48.22,81,100,3.44
55,Beringovskiy,RU,2022-04-15 00:31:24,63.05,179.3167,31.73,99,100,15.77
56,Iqaluit,CA,2022-04-15 00:29:47,63.7506,-68.5145,-2.31,70,20,17.27
57,Goderich,CA,2022-04-15 00:31:24,43.7501,-81.7165,44.91,61,3,9.22
58,Novyy Urengoy,RU,2022-04-15 00:31:24,66.0833,76.6333,33.98,100,100,10.69
59,Ketchikan,US,2022-04-15 00:31:25,55.3422,-131.6461,48.67,29,0,10.36
60,Mwanza,TZ,2022-04-15 00:31:25,-2.5167,32.9,70.61,75,100,7.81
61,Tianpeng,CN,2022-04-15 00:31:26,30.9866,103.9393,54.07,95,100,7.43
62,Esperance,AU,2022-04-15 00:31:26,-33.8667,121.9,62.44,64,92,5.84
63,Urucara,BR,2022-04-15 00:31:26,-2.5364,-57.76,74.95,97,100,1.5
64,Dudinka,RU,2022-04-15 00:31:27,69.4058,86.1778,27.63,87,100,17.72
65,Aykhal,RU,2022-04-15 00:31:27,66.0,111.5,7.5,92,97,20.24
66,Mar Del Plata,AR,2022-04-15 00:28:54,-38.0023,-57.5575,59.88,74,0,7.0
67,Kaitangata,NZ,2022-04-15 00:31:27,-46.2817,169.8464,63.32,50,22,2.1
68,Nanortalik,GL,2022-04-15 00:31:28,60.1432,-45.2371,31.87,91,100,4.52
69,Vaini,TO,2022-04-15 00:31:28,-21.2,-175.2,84.36,84,40,14.97
70,Cidreira,BR,2022-04-15 00:31:28,-30.1811,-50.2056,60.37,67,0,11.83
71,Banjar,ID,2022-04-15 00:31:29,-8.19,114.9675,85.28,68,49,0.96
72,Polson,US,2022-04-15 00:31:29,47.6936,-114.1632,37.22,41,99,11.01
73,Chokurdakh,RU,2022-04-15 00:31:29,70.6333,147.9167,10.58,91,100,8.57
74,Thompson,CA,2022-04-15 00:31:30,55.7435,-97.8558,14.16,52,100,16.11
75,Port Macquarie,AU,2022-04-15 00:31:30,-31.4333,152.9167,73.89,63,47,5.44
76,Hermanus,ZA,2022-04-15 00:31:30,-34.4187,19.2345,54.81,75,92,11.81
77,Mataura,NZ,2022-04-15 00:31:31,-46.1927,168.8643,63.0,47,100,2.98
78,Avarua,CK,2022-04-15 00:31:31,-21.2078,-159.775,84.25,79,77,4.61
79,Bredasdorp,ZA,2022-04-15 00:31:31,-34.5322,20.0403,54.21,84,36,6.02
80,Alofi,NU,2022-04-15 00:31:32,-19.0595,-169.9187,85.89,66,40,9.22
